address;source_location;insn;indent
0x401230;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSS	(%RDX,%R12,1),%XMM1;
0x4012c0;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM0,%XMM0;
0x4012c4;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADDSD	%XMM2,%XMM0;
0x4012c8;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSD2SS	%XMM0,%XMM0;
0x4012cc;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADD	%R9,%R13;
0x4012cf;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSS	0x10(%RDX,%R12,1),%XMM1;
0x4012d6;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM1,%XMM1;
0x4012da;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;SQRTSD	%XMM1,%XMM1;
0x4012de;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSD	(%R9,%R13,1),%XMM2;
0x4012e4;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADD	%R9,%R13;
0x4012e7;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;DIVSD	%XMM1,%XMM2;
0x4012eb;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM0,%XMM0;
0x4012ef;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADDSD	%XMM2,%XMM0;
0x4012f3;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSD2SS	%XMM0,%XMM0;
0x4012f7;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSS	0x14(%RDX,%R12,1),%XMM1;
0x4012fe;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM1,%XMM1;
0x401302;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;SQRTSD	%XMM1,%XMM1;
0x401306;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSD	(%R9,%R13,1),%XMM2;
0x40130c;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;DIVSD	%XMM1,%XMM2;
0x401310;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM0,%XMM0;
0x401314;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADDSD	%XMM2,%XMM0;
0x401318;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSD2SS	%XMM0,%XMM0;
0x40131c;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADD	%R9,%R13;
0x40131f;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSS	0x18(%RDX,%R12,1),%XMM1;
0x401326;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM1,%XMM1;
0x40132a;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;SQRTSD	%XMM1,%XMM1;
0x40132e;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSD	(%R9,%R13,1),%XMM2;
0x401334;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADD	%R9,%R13;
0x401337;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;DIVSD	%XMM1,%XMM2;
0x40133b;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM0,%XMM0;
0x40133f;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADDSD	%XMM2,%XMM0;
0x401343;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSD2SS	%XMM0,%XMM0;
0x401347;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSS	0x1c(%RDX,%R12,1),%XMM1;
0x40134e;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM1,%XMM1;
0x401352;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;SQRTSD	%XMM1,%XMM1;
0x401356;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;MOVSD	(%R9,%R13,1),%XMM2;
0x40135c;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;DIVSD	%XMM1,%XMM2;
0x401360;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSS2SD	%XMM0,%XMM0;
0x401364;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;ADDSD	%XMM2,%XMM0;
0x401368;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:53;CVTSD2SS	%XMM0,%XMM0;
0x40136c;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:52;ADD	$0x20,%R12;
0x401370;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:52;ADD	%RBX,%R15;
0x401373;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:52;CMP	%R12,%R11;
0x401376;/home/mathieu/Downloads/AOA-Project5/mathieu/../kernel.c:52;JNE	401230 <kernel+0x80>;
